member_index,crossing_days,crossing_date_utc,rain_free_days_to_project_threshold,short_range_delay_days,total_applied_delay_days,model_delay_rmse_days,basin_rain_48h_mm,basin_rain_120h_mm,basin_rain_240h_mm,basin_rain_384h_mm
1,8.311075055092044,2026-08-12,4.958333333333333,1.0786813514702567,3.352741721758711,1.4142135623730951,0.0,4.075000286102295,11.550000190734863,19.149999618530273
2,8.310874576781035,2026-08-12,4.958333333333333,1.0786813514702567,3.352541243447702,1.4142135623730951,0.0,6.700000286102295,14.77500057220459,22.700000762939453
3,7.174268409764333,2026-08-11,4.958333333333333,1.0786813514702567,2.215935076431,1.0,0.0,0.02500000037252903,5.550000190734863,21.200000762939453
4,8.312997454553875,2026-08-12,4.958333333333333,1.0786813514702567,3.3546641212205417,1.4142135623730951,0.0,2.049999952316284,18.80000114440918,23.80000114440918
5,8.314024983105124,2026-08-12,4.958333333333333,1.0786813514702567,3.355691649771792,1.4142135623730951,0.699999988079071,1.9250000715255737,27.274999618530273,53.67499923706055
6,8.315174837800727,2026-08-12,4.958333333333333,1.0786813514702567,3.3568415044673943,1.4142135623730951,0.0,0.7125000357627869,30.725000381469727,135.6999969482422
7,7.178043092080521,2026-08-11,4.958333333333333,1.0786813514702567,2.2197097587471877,1.0,0.10999999940395355,0.4375,29.200000762939453,33.47500228881836
8,8.316356739510173,2026-08-12,4.958333333333333,1.0786813514702567,3.358023406176841,1.4142135623730951,2.429999828338623,5.962500095367432,71.7750015258789,93.5250015258789
9,7.181078569068027,2026-08-11,4.958333333333333,1.0786813514702567,2.2227452357346937,1.0,0.0,0.3199999928474426,63.9375,82.4000015258789
10,7.178225637871512,2026-08-11,4.958333333333333,1.0786813514702567,2.2198923045381793,1.0,0.0,0.08749999850988388,29.42500114440918,35.45000076293945
11,8.315605422545472,2026-08-12,4.958333333333333,1.0786813514702567,3.357272089212139,1.4142135623730951,0.0,3.1999998092651367,38.45000076293945,45.45000076293945
12,7.176812703472731,2026-08-11,4.958333333333333,1.0786813514702567,2.2184793701393977,1.0,0.0,0.0,19.649999618530273,24.55000114440918
13,8.310939123898763,2026-08-12,4.958333333333333,1.0786813514702567,3.3526057905654287,1.4142135623730951,0.0,0.762499988079071,5.900000095367432,35.150001525878906
14,7.179744818940429,2026-08-11,4.958333333333333,1.0786813514702567,2.2214114856070957,1.0,0.05999999865889549,0.05000000074505806,42.35000228881836,44.025001525878906
15,8.309793725960137,2026-08-12,4.958333333333333,1.0786813514702567,3.3514603926268034,1.4142135623730951,2.6549999713897705,5.112500190734863,13.875,30.149999618530273
16,7.178635936712084,2026-08-11,4.958333333333333,1.0786813514702567,2.2203026033787507,1.0,0.0,0.05999999865889549,32.47500228881836,37.025001525878906
17,8.314819307105275,2026-08-12,4.958333333333333,1.0786813514702567,3.3564859737719424,1.4142135623730951,0.0,11.475000381469727,49.67499923706055,56.900001525878906
18,8.314434380085281,2026-08-12,4.958333333333333,1.0786813514702567,3.3561010467519488,1.4142135623730951,0.0,0.737500011920929,25.600000381469727,26.55000114440918
19,8.315606750565049,2026-08-12,4.958333333333333,1.0786813514702567,3.3572734172317165,1.4142135623730951,0.0,1.9799998998641968,36.22500228881836,38.025001525878906
20,7.173928907602525,2026-08-11,4.958333333333333,1.0786813514702567,2.2155955742691917,1.0,0.0,0.07999999821186066,3.9750001430511475,10.75
21,8.31774584103541,2026-08-12,4.958333333333333,1.0786813514702567,3.359412507702078,1.4142135623730951,0.0,0.6000000238418579,57.29999923706055,121.55000305175781
